gender,age,hometown,educational_qualification,occupation,Have you heard of banking mobile apps before?,Have you earlier used banking mobile apps before?,"If yes to above question, do/does your bank/banks provide the facility?","Do you think, Banking Mobile Apps would help you to make your bank processes comfortable?",Do you own a smart phone?,Do you think you could install a mobile banking app and use it for your banking processes?,"Other than the above points, what is/are the reason/reasons for not using mobile banking apps?"
 Female,16 - 25, Kandy, Degree,  Private Sector, Yes, Yes, Yes, Yes, Yes, Yes,
 Male,25 - 45, Kandy, Degree,  Unemployed, Yes, Yes, Yes, Yes, Yes, Yes,
 Female,25 - 45, Matara, Degree,  Public Sector, Yes, No, No, Yes, Yes, Yes,
 Female,25 - 45, Galle, Diploma,  Private Sector, Yes, No, No, Yes, Yes, Yes,
 Female,16 - 25, Colombo, Degree, Student, Yes, No, No, Yes, Yes, Yes,
 Male,25 - 45, Colombo, Degree,  Private Sector, Yes, Yes, Yes, Yes, Yes, Yes,
 Female,25 - 45, Matara, Diploma,  Public Sector, Yes, No, No, Yes, Yes, Yes,I'dont know how use it
 Female,25 - 45, Matara, Diploma,  Public Sector, Yes, No, No, Yes, Yes, Yes,
 Female,More than 60, Matara,  A/L,  Unemployed, Yes, No, No, Yes, No, Yes,
 Female,25 - 45, Colombo, Diploma,  Public Sector, Yes, No, No, Yes, Yes, Yes,
 Female,25 - 45, Colombo, Diploma,  Public Sector, Yes, No, No,  No idea, Yes, Yes,
 Female,16 - 25, Colombo, Degree, Student, Yes, No, No, Yes, Yes, Yes,
 Male,25 - 45, Matara, Degree,  Public Sector, Yes, Yes, Yes, Yes, Yes, Yes,"If someone get to know the password they can transfer money to their account..
Tend to transfer money more ...(if u dont have that facility and have to go to bank/ATM transferring for extra purposes gets reduced)
Tend to spend more money.."
 Male,25 - 45, Colombo, Diploma,  Private Sector, Yes, Yes, Yes, Yes, Yes, Yes,
 Male,25 - 45, Matara, Diploma,  Private Sector, Yes, Yes, Yes, Yes, Yes, Yes,
 Male,25 - 45, Matara, Degree,  Unemployed, Yes, Yes, Yes, Yes, Yes, No,
 Male,25 - 45, Kilinochchi, Degree,  Public Sector, Yes, Yes, Yes, Yes, Yes, Yes,
 Male,16 - 25, Matara, Degree, Student, Yes, Yes, Yes, Yes, Yes, Yes,
 Male,25 - 45, Galle, Degree, Student, Yes, Yes, Yes, Yes, Yes, Yes,Annual fee for mobile/internet banking facilities 
 Male,25 - 45, Kalutara, Degree,  Private Sector, Yes, Yes, Yes, Yes, Yes, Yes,
 Female,25 - 45, Hambantota, Degree,  Private Sector, Yes, No, No, Yes, Yes, Yes,
 Male,25 - 45, Matara, Degree,  Private Sector, Yes, No, No,  No idea, Yes, Yes,I did not had a chance to go to the bank to enable this facility
 Female,25 - 45, Matara, Degree,  Public Sector, Yes, Yes, Yes, Yes, Yes, Yes,Easy 
 Male,25 - 45, Matara, Degree,  Private Sector, Yes, Yes, Yes, Yes, Yes, Yes,
 Male,25 - 45, Colombo, Degree, Student, Yes, Yes, Yes, Yes, Yes, Yes,Poor internet connection 
 Male,16 - 25, Colombo, Degree, Student, Yes, No, No, Yes, Yes,  No idea,Hidden charges and did not believe much about the security 
 Female,25 - 45, Galle, Degree,  Private Sector, Yes, Yes, Yes, Yes, Yes, Yes,
 Female,25 - 45, Matara, Degree, Student, Yes, Yes, Yes, Yes, Yes, Yes,They are less efficient and not convenient to access with respect to banking apps in other countries  
 Female,25 - 45, Colombo, Degree,  Private Sector, Yes, Yes, Yes, Yes, Yes, Yes,
 Male,16 - 25, Kalutara,  A/L, Student, Yes, No, No, Yes, Yes, Yes,I am going to start using it as soon as possible. Only thing i thought twice is the service charges annually and for the transactions.
 Male,16 - 25, Colombo, Degree,  Public Sector, Yes, Yes, Yes, Yes, Yes, Yes,
 Female,25 - 45, Matara, Degree,  Private Sector, Yes, Yes, Yes, Yes, Yes, Yes,
 Female,25 - 45, Matara, Degree,  Public Sector, Yes, Yes, Yes, Yes, Yes, Yes,
 Male,16 - 25, Matara, Degree, Student, Yes, Yes, Yes, Yes, Yes, Yes,
 Male,16 - 25, Matara, Degree, Student, Yes, Yes, Yes, Yes, Yes, Yes,
 Female,25 - 45, Jaffna, Degree,  Private Sector, Yes, Yes, Yes, Yes, Yes, Yes,
 Male,25 - 45, Matara, Degree,  Private Sector, Yes, No, No, Yes, Yes, Yes,
 Male,25 - 45, Colombo, Diploma,  Private Sector, Yes, No, No, Yes, Yes, Yes,"Issue on trustworthy, additional charges for online banking etc."
 Male,25 - 45, Colombo,  A/L,  Private Sector, Yes, Yes, Yes, Yes, Yes, Yes,
 Female,25 - 45, Matara, Degree,  Public Sector, Yes, No, No, Yes, Yes,  No idea,Some apps take time and effort for the initiation. Banks asking to fill multiple forms without activating the service.
 Male,25 - 45, Matara,  A/L,  Private Sector, Yes, No, No, No, Yes, Yes,
 Female,25 - 45, Matara, Degree,  Public Sector, Yes, No, No, Yes, Yes, Yes,I hope to use that near future 
 Male,25 - 45, Galle, Degree,  Private Sector, Yes, Yes, Yes, Yes, Yes, Yes,
 Female,25 - 45, Matara, Degree,  Public Sector, Yes, No, No, Yes, Yes, Yes,The account is not updated to enable mobile banking.
 Male,25 - 45, Matara, Degree,  Private Sector, Yes, Yes, Yes, Yes, Yes, Yes,
 Male,25 - 45, Matara, Degree,  Private Sector, Yes, Yes, Yes, Yes, Yes, Yes,
 Male,16 - 25, Matara, Degree,  Private Sector, Yes, Yes, Yes, Yes, Yes, Yes,
 Male,25 - 45, Matara, Degree,  Private Sector, Yes, Yes, Yes, Yes, Yes, Yes,For security risk
 Male,25 - 45, Colombo, Degree, Student, No, No, No, Yes, Yes, Yes,
 Male,More than 60, Galle,  A/L,  Public Sector, Yes, No, No,  No idea, Yes, Yes,
 Male,16 - 25, Matara,  A/L, Student, Yes, No, No, Yes, No, No,
 Female,16 - 25, Colombo, Diploma, Student, Yes, No, No, Yes, Yes, Yes,
 Male,25 - 45, Kurunegala, Degree, Student, Yes, Yes, Yes, Yes, Yes, Yes,
 Male,25 - 45, Matara, Degree, Student, Yes, No, No, Yes, Yes, Yes,
 Male,25 - 45, Matara,  A/L,  Unemployed, Yes, No, No, Yes, Yes, Yes,
 Female,25 - 45, Gampaha, Degree,  Public Sector, Yes, No, No, Yes, Yes, Yes,
 Male,25 - 45, Colombo, Degree,  Private Sector, Yes, Yes, Yes, Yes, Yes, Yes,
 Female,More than 60, Matara,  A/L,  Public Sector, Yes, No, No,  No idea, No, No,"Security issues
Issues in using smart phones (technical knowledge)"
 Male,25 - 45, Colombo, Degree,  Private Sector, Yes, Yes, Yes, Yes, Yes, Yes,
 Male,25 - 45, Galle,  A/L, Student, Yes, No, No, Yes, Yes, Yes,
 Female,25 - 45, Gampaha, Degree,  Private Sector, Yes, No, No, Yes, Yes, Yes,Security
 Male,25 - 45, Colombo,  A/L,  Private Sector, Yes, Yes, Yes, Yes, Yes, Yes,
 Male,16 - 25, Matara, Degree, Student, Yes, Yes, Yes, Yes, Yes, Yes,
 Male,25 - 45, Kandy,  A/L, Student, Yes, No, No, Yes, Yes, Yes,
 Male,25 - 45, Matara, Degree,  Private Sector, Yes, No, No, Yes, Yes, Yes,
 Male,25 - 45, Matara, Diploma,  Private Sector, Yes, Yes, Yes, Yes, Yes, Yes,
 Male,25 - 45, Matara, Diploma,  Public Sector, Yes, No, No, Yes, Yes, Yes,
 Male,25 - 45, Matara, Degree, Student, Yes, Yes, Yes, Yes, Yes, Yes,
 Male,25 - 45, Matara, Degree,  Private Sector, Yes, Yes, Yes, Yes, Yes, Yes,
 Male,25 - 45, Colombo, Degree,  Private Sector, Yes, Yes, Yes, Yes, Yes, Yes,
 Male,25 - 45, Matara, Degree, Student, Yes, Yes, Yes, Yes, Yes, Yes,
 Female,25 - 45, Gampaha, Degree,  Public Sector, Yes, No, No, Yes, Yes, Yes,
 Male,25 - 45, Matara, Degree,  Private Sector, Yes, No, No,  No idea, Yes,  No idea,
